"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Belgium","BEL","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.74299001693726","1.80971002578735","1.838250041008","1.90565001964569","1.93619000911713","2.03278994560242","1.90324997901917","1.8411899805069","1.82050001621246","1.79060995578766","1.8226900100708","1.84999001026154","1.93684005737305","1.99860000610352","2.06188011169434","2.17332005500793","2.28114008903503","2.33072996139526","2.37001991271973","2.42816996574402","2.52338004112244","2.66666007041931","2.86031007766724","3.16000008583069","3.47720003128052","",
"Benin","BEN","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.158340007066727","0.18104000389576","","","","0.168160006403923","0.301109999418259","0.241119995713234","0.215139999985695","0.151659995317459","","0.098360002040863","0.165680006146431","0.177870005369186","","","","","0.197190001606941","","","0.613610029220581","","0.172780007123947","0.248239994049072","",
"Bangladesh","BGD","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.418260008096695","0.465479999780655","0.482230007648468","0.536880016326904","0.495169997215271","0.447089999914169","0.464729994535446","0.472220003604889","0.470860004425049","0.442690014839172","0.44216001033783","0.430299997329712","0.447659999132156","0.493380010128021","0.563069999217987","0.529510021209717","0.600359976291656","0.634329974651337","0.790050029754639","0.949169993400574","0.769760012626648","0.739950001239777","0.753790020942688","0.832369983196259","0.853510022163391","",
"Bahrain","BHR","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.101159997284412","","","","","","","",
"Bahamas, The","BHS","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0182600002735853","0.0159000009298325","0.0269699990749359","0.0196899995207787","0.0252100005745888","0.0184199996292591","0.021059999242425","","","0.265329986810684","0.321319997310638","0.257250010967255","0.218600004911423","0.215939998626709","0.200479999184608","0.194849997758865","0.192640006542206","0.206139996647835","",
"Belarus","BLR","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.998520016670227","0.730000019073486","0.705780029296875","0.845229983329773","0.722100019454956","0.708760023117065","0.620899975299835","0.611469984054565","0.627590000629425","0.678520023822784","0.660650014877319","0.962029993534088","0.741469979286194","0.621670007705688","0.669130027294159","0.677600026130676","0.646030008792877","0.651910006999969","0.505479991436005","0.499989986419678","0.500630021095276","0.584110021591187","0.604430019855499","0.577329993247986","0.548969984054565","",
"Belize","BLZ","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0588500015437603","","","","","","","","","","0.160260006785393","0.1684799939394","0.182349994778633","0.180500000715256","0.261949986219406","0.233549997210503","0.196299999952316","0.190830007195473","0.195069998502731","","","0.228560000658035","0.262369990348816","0.226930007338524","",
"Bolivia","BOL","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.325439989566803","0.315770000219345","0.294950008392334","0.298359990119934","0.287440001964569","0.293579995632172","0.276630014181137","","","","","","","0.157000005245209","","","","","","","","","","","","",
"Brazil","BRA","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.04751002788544","1.06198000907898","1.0096800327301","0.999390006065369","0.963429987430573","1.00246000289917","0.988070011138916","1.08138000965118","1.12904000282288","1.11865997314453","1.15991997718811","1.13966000080109","1.12683999538422","1.19567000865936","1.26970994472504","1.37092995643616","1.28637003898621","1.11749994754791","1.16769003868103","1.20802998542786","","",
